"Year","Duration","Rating","Review","Budget","Collection","Drama","Crime","Action","Biography","History","Adventure","Western","Romance","Sci-Fi","Fantasy","Mystery","Family","Thriller","War","Comedy","Animation","Music","Horror","Film-Noir","Musical","Sport","Net_income","Profitable","Duration_z-score","Rating_z-score","Review_z-score","Budget_z-score","Collection_z-score","Net_income_z-score"
1968,149,8.3,718000,12000000,66602480,"0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",54602480,"1",0.631817574466974,-0.0489621661689943,0.0427207673274356,-0.415350503322143,-0.472338612075948,-0.453098829917382
1992,99,8.3,1100000,1200000,2930208,"0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",1730208,"1",-1.03965749026047,-0.0489621661689943,0.727601291042409,-0.794372254294259,-0.831610870314242,-0.78640306658252
1952,143,8.3,87000,3000000,96302,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",-2903698,"0",0.431240566699681,-0.0489621661689943,-1.08858711346876,-0.731201962465573,-0.847601250055286,-0.815614985111536
1962,218,8.3,314000,15000000,74437981,"1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",59437981,"1",2.93845316379085,-0.0489621661689943,-0.681603137334474,-0.310066683607666,-0.428126617588011,-0.422616066292272
1960,125,8.3,196000,3000000,18778738,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0",15778738,"1",-0.170490456602199,-0.0489621661689943,-0.893163089686219,-0.731201962465573,-0.742185175517968,-0.697841815272621
1959,136,8.3,345000,3101000,149561,"0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",-2951439,"0",0.197234057637838,-0.0489621661689943,-0.626023827818337,-0.727657407201852,-0.847300734923652,-0.815915942058547
1941,119,8.3,465000,839727,1702325,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",862598,"1",-0.371067464369492,-0.0489621661689943,-0.410878113562324,-0.80701589348759,-0.838539228364076,-0.791872437915248
2010,131,8.3,199000,6800000,6797861,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0",-2139,"0",0.0300865511650942,-0.0489621661689943,-0.887784446829819,-0.597842457493903,-0.809787549365492,-0.797323697995411
1958,128,8.3,426000,2479000,7804803,"0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0",5325803,"1",-0.0702019527185524,-0.0489621661689943,-0.480800470695529,-0.749486252489321,-0.804105855986387,-0.763736610205688
1931,117,8.3,168000,935000,972212,"0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",37212,"0",-0.43792646695859,-0.0489621661689943,-0.943363756345956,-0.803672325035705,-0.842658907747892,-0.797075631201213
1944,107,8.3,167000,927262,19324,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",-907938,"0",-0.772221479904079,-0.0489621661689943,-0.945156637298089,-0.803943887101355,-0.84803560018959,-0.803033810930733
1983,170,8.3,914000,50000000,66443303,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",16443303,"0",1.3338371016525,-0.0489621661689943,0.39412543394559,0.918244546394563,-0.473236771957059,-0.693652429765614
